STATION,NAME,DATE,"TAVG, F°","TAVG, C°"
RSM00027612,"MOSCOW, RS",2012-01-01,32,0.00
RSM00027612,"MOSCOW, RS",2012-01-02,29,-1.67
RSM00027612,"MOSCOW, RS",2012-01-03,28,-2.22
RSM00027612,"MOSCOW, RS",2012-01-04,31,-0.56
RSM00027612,"MOSCOW, RS",2012-01-05,35,1.67
RSM00027612,"MOSCOW, RS",2012-01-06,35,1.67
RSM00027612,"MOSCOW, RS",2012-01-07,35,1.67
RSM00027612,"MOSCOW, RS",2012-01-08,31,-0.56
RSM00027612,"MOSCOW, RS",2012-01-09,29,-1.67
RSM00027612,"MOSCOW, RS",2012-01-10,28,-2.22
RSM00027612,"MOSCOW, RS",2012-01-11,28,-2.22
RSM00027612,"MOSCOW, RS",2012-01-12,28,-2.22
RSM00027612,"MOSCOW, RS",2012-01-13,32,0.00
RSM00027612,"MOSCOW, RS",2012-01-14,29,-1.67
RSM00027612,"MOSCOW, RS",2012-01-15,26,-3.33
RSM00027612,"MOSCOW, RS",2012-01-16,25,-3.89
RSM00027612,"MOSCOW, RS",2012-01-17,22,-5.56
RSM00027612,"MOSCOW, RS",2012-01-18,21,-6.11
RSM00027612,"MOSCOW, RS",2012-01-19,18,-7.78
RSM00027612,"MOSCOW, RS",2012-01-20,13,-10.56
RSM00027612,"MOSCOW, RS",2012-01-21,11,-11.67
RSM00027612,"MOSCOW, RS",2012-01-22,7,-13.89
RSM00027612,"MOSCOW, RS",2012-01-23,6,-14.44
RSM00027612,"MOSCOW, RS",2012-01-24,6,-14.44
RSM00027612,"MOSCOW, RS",2012-01-25,5,-15.00
RSM00027612,"MOSCOW, RS",2012-01-26,4,-15.56
RSM00027612,"MOSCOW, RS",2012-01-27,4,-15.56
RSM00027612,"MOSCOW, RS",2012-01-28,6,-14.44
RSM00027612,"MOSCOW, RS",2012-01-29,7,-13.89
RSM00027612,"MOSCOW, RS",2012-01-30,2,-16.67
RSM00027612,"MOSCOW, RS",2012-01-31,-1,-18.33
RSM00027612,"MOSCOW, RS",2012-02-01,-8,-22.22
RSM00027612,"MOSCOW, RS",2012-02-02,-1,-18.33
RSM00027612,"MOSCOW, RS",2012-02-03,-4,-20.00
RSM00027612,"MOSCOW, RS",2012-02-04,-1,-18.33
RSM00027612,"MOSCOW, RS",2012-02-05,10,-12.22
RSM00027612,"MOSCOW, RS",2012-02-06,8,-13.33
RSM00027612,"MOSCOW, RS",2012-02-07,4,-15.56
RSM00027612,"MOSCOW, RS",2012-02-08,1,-17.22
RSM00027612,"MOSCOW, RS",2012-02-09,1,-17.22
RSM00027612,"MOSCOW, RS",2012-02-10,3,-16.11
RSM00027612,"MOSCOW, RS",2012-02-11,2,-16.67
RSM00027612,"MOSCOW, RS",2012-02-12,-7,-21.67
RSM00027612,"MOSCOW, RS",2012-02-13,-11,-23.89
RSM00027612,"MOSCOW, RS",2012-02-14,0,-17.78
RSM00027612,"MOSCOW, RS",2012-02-15,18,-7.78
RSM00027612,"MOSCOW, RS",2012-02-16,15,-9.44
RSM00027612,"MOSCOW, RS",2012-02-17,14,-10.00
RSM00027612,"MOSCOW, RS",2012-02-18,11,-11.67
RSM00027612,"MOSCOW, RS",2012-02-19,11,-11.67
