"STATION","NAME","DATE","TAVG"
"RSM00027612","MOSCOW, RS","2012-01-01","32"
"RSM00027612","MOSCOW, RS","2012-01-02","29"
"RSM00027612","MOSCOW, RS","2012-01-03","28"
"RSM00027612","MOSCOW, RS","2012-01-04","31"
"RSM00027612","MOSCOW, RS","2012-01-05","35"
"RSM00027612","MOSCOW, RS","2012-01-06","35"
"RSM00027612","MOSCOW, RS","2012-01-07","35"
"RSM00027612","MOSCOW, RS","2012-01-08","31"
"RSM00027612","MOSCOW, RS","2012-01-09","29"
"RSM00027612","MOSCOW, RS","2012-01-10","28"
"RSM00027612","MOSCOW, RS","2012-01-11","28"
"RSM00027612","MOSCOW, RS","2012-01-12","28"
"RSM00027612","MOSCOW, RS","2012-01-13","32"
"RSM00027612","MOSCOW, RS","2012-01-14","29"
"RSM00027612","MOSCOW, RS","2012-01-15","26"
"RSM00027612","MOSCOW, RS","2012-01-16","25"
"RSM00027612","MOSCOW, RS","2012-01-17","22"
"RSM00027612","MOSCOW, RS","2012-01-18","21"
"RSM00027612","MOSCOW, RS","2012-01-19","18"
"RSM00027612","MOSCOW, RS","2012-01-20","13"
"RSM00027612","MOSCOW, RS","2012-01-21","11"
"RSM00027612","MOSCOW, RS","2012-01-22","7"
"RSM00027612","MOSCOW, RS","2012-01-23","6"
"RSM00027612","MOSCOW, RS","2012-01-24","6"
"RSM00027612","MOSCOW, RS","2012-01-25","5"
"RSM00027612","MOSCOW, RS","2012-01-26","4"
"RSM00027612","MOSCOW, RS","2012-01-27","4"
"RSM00027612","MOSCOW, RS","2012-01-28","6"
"RSM00027612","MOSCOW, RS","2012-01-29","7"
"RSM00027612","MOSCOW, RS","2012-01-30","2"
"RSM00027612","MOSCOW, RS","2012-01-31","-1"
"RSM00027612","MOSCOW, RS","2012-02-01","-8"
"RSM00027612","MOSCOW, RS","2012-02-02","-1"
"RSM00027612","MOSCOW, RS","2012-02-03","-4"
"RSM00027612","MOSCOW, RS","2012-02-04","-1"
"RSM00027612","MOSCOW, RS","2012-02-05","10"
"RSM00027612","MOSCOW, RS","2012-02-06","8"
"RSM00027612","MOSCOW, RS","2012-02-07","4"
"RSM00027612","MOSCOW, RS","2012-02-08","1"
"RSM00027612","MOSCOW, RS","2012-02-09","1"
"RSM00027612","MOSCOW, RS","2012-02-10","3"
"RSM00027612","MOSCOW, RS","2012-02-11","2"
"RSM00027612","MOSCOW, RS","2012-02-12","-7"
"RSM00027612","MOSCOW, RS","2012-02-13","-11"
"RSM00027612","MOSCOW, RS","2012-02-14","0"
"RSM00027612","MOSCOW, RS","2012-02-15","18"
"RSM00027612","MOSCOW, RS","2012-02-16","15"
"RSM00027612","MOSCOW, RS","2012-02-17","14"
"RSM00027612","MOSCOW, RS","2012-02-18","11"
"RSM00027612","MOSCOW, RS","2012-02-19","11"
"RSM00027612","MOSCOW, RS","2012-02-20","13"
"RSM00027612","MOSCOW, RS","2012-02-21","21"
"RSM00027612","MOSCOW, RS","2012-02-22","26"
"RSM00027612","MOSCOW, RS","2012-02-23","29"
"RSM00027612","MOSCOW, RS","2012-02-24","33"
"RSM00027612","MOSCOW, RS","2012-02-25","29"
"RSM00027612","MOSCOW, RS","2012-02-26","28"
"RSM00027612","MOSCOW, RS","2012-02-27","27"
"RSM00027612","MOSCOW, RS","2012-02-28","25"
"RSM00027612","MOSCOW, RS","2012-02-29","24"
"RSM00027612","MOSCOW, RS","2012-03-01","26"
"RSM00027612","MOSCOW, RS","2012-03-02","26"
"RSM00027612","MOSCOW, RS","2012-03-03","19"
"RSM00027612","MOSCOW, RS","2012-03-04","28"
"RSM00027612","MOSCOW, RS","2012-03-05","22"
"RSM00027612","MOSCOW, RS","2012-03-06","17"
"RSM00027612","MOSCOW, RS","2012-03-07","16"
"RSM00027612","MOSCOW, RS","2012-03-08","14"
"RSM00027612","MOSCOW, RS","2012-03-09","15"
"RSM00027612","MOSCOW, RS","2012-03-10","22"
"RSM00027612","MOSCOW, RS","2012-03-11","25"
"RSM00027612","MOSCOW, RS","2012-03-12","27"
"RSM00027612","MOSCOW, RS","2012-03-13","32"
"RSM00027612","MOSCOW, RS","2012-03-14","30"
"RSM00027612","MOSCOW, RS","2012-03-15","20"
"RSM00027612","MOSCOW, RS","2012-03-16","19"
