STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
296380,99999, 20120401,   35.4, 8,   23.0, 8, 1024.9, 8, 1008.3, 8,   9.9, 8,   3.6, 8,   5.8, 999.9,   45.3 ,  18.5 , 0.00I,999.9, 000000,
296380,99999, 20120402,   40.8, 8,   32.7, 8, 1022.5, 8, 1006.2, 8,  13.4, 8,   5.8, 8,   7.8, 999.9,   47.5 ,  33.6*, 0.00I,999.9, 000000,
296380,99999, 20120403,   41.4, 8,   34.8, 8, 1030.8, 8, 1014.4, 8,  12.6, 8,   3.6, 8,   5.8, 999.9,   53.2 ,  29.5 , 0.00I,999.9, 000000,
296380,99999, 20120404,   48.0, 8,   38.0, 8, 1023.0, 8, 1006.9, 8,  12.6, 8,   7.3, 8,  11.7, 999.9,   59.2 ,  35.1 ,99.99 ,999.9, 010000,
296380,99999, 20120405,   41.9, 8,   31.5, 8, 1022.7, 8, 1006.5, 8,  14.7, 8,   7.0, 8,   9.7, 999.9,   50.9 ,  31.3*, 0.02E,999.9, 010000,
296380,99999, 20120406,   38.1, 8,   24.7, 8, 1028.1, 8, 1011.7, 8,  13.7, 8,   7.3, 8,   9.7, 999.9,   45.5 ,  29.1 , 0.01E,999.9, 000000,
296380,99999, 20120407,   45.7, 8,   31.7, 8, 1014.0, 8,  998.0, 8,  14.7, 8,   9.0, 8,  11.7, 999.9,   57.7 ,  36.3 ,99.99 ,999.9, 010000,
296380,99999, 20120408,   36.7, 8,   20.9, 8, 1027.2, 8, 1010.7, 8,  14.8, 8,   5.3, 8,   9.7, 999.9,   46.4 ,  26.4*, 0.04F,999.9, 000000,
296380,99999, 20120409,   40.3, 8,   22.2, 8, 1032.1, 8, 1015.6, 8,  13.5, 8,   4.4, 8,   7.8, 999.9,   50.7 ,  23.9 , 0.00I,999.9, 000000,
296380,99999, 20120410,   47.5, 8,   29.6, 8, 1028.7, 8, 1012.5, 8,  13.9, 8,   5.6, 8,   9.7, 999.9,   61.7 ,  31.5 , 0.00I,999.9, 000000,
296380,99999, 20120411,   54.9, 8,   31.1, 8, 1020.5, 8, 1004.7, 8,  10.6, 8,   8.0, 8,  11.7, 999.9,   72.5 ,  34.3 , 0.00I,999.9, 000000,
296380,99999, 20120412,   38.7, 8,   21.3, 8, 1021.8, 8, 1005.4, 8,  14.4, 8,   5.8, 8,   9.7, 999.9,   43.7 ,  35.4 , 0.00E,999.9, 001000,
296380,99999, 20120413,   43.9, 8,   20.9, 8, 1015.9, 8,  999.8, 8,  14.5, 8,   6.3, 8,   9.7, 999.9,   52.0 ,  35.6 , 0.00E,999.9, 010000,
296380,99999, 20120414,   49.0, 8,   26.2, 8, 1019.4, 8, 1003.3, 8,  12.6, 8,   3.2, 8,   5.8, 999.9,   64.4 ,  34.0 , 0.00I,999.9, 000000,
296380,99999, 20120415,   56.8, 8,   38.9, 8, 1010.3, 8,  994.7, 8,  11.4, 8,   8.0, 8,  13.6, 999.9,   69.6 ,  38.5 , 0.00I,999.9, 000000,
296380,99999, 20120416,   48.7, 8,   38.0, 8, 1010.8, 8,  995.0, 8,  11.0, 8,   5.3, 8,   9.7, 999.9,   60.8 ,  36.5 , 0.00I,999.9, 000000,
296380,99999, 20120417,   42.5, 8,   29.5, 8, 1015.7, 8,  999.5, 8,  13.7, 8,   5.3, 8,   9.7, 999.9,   51.3 ,  31.3*, 0.02F,999.9, 000000,
