STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
296380,99999, 20150401,   25.8, 8,   14.3, 8, 1024.0, 8, 1007.2, 8,  11.0, 8,   3.2, 8,   7.8, 999.9,   39.6*,   7.0 , 0.00E, 23.2, 000000,
296380,99999, 20150402,   28.4, 8,   20.9, 8, 1026.9, 8, 1010.1, 8,  14.3, 8,   2.5, 7,   5.8, 999.9,   40.1 ,  12.9 , 0.00E, 23.2, 000000,
296380,99999, 20150403,   30.2, 8,   23.0, 8, 1029.8, 8, 1013.0, 8,  11.9, 8,   2.8, 7,   5.8, 999.9,   40.6 ,  21.7 , 0.00F, 21.7, 000000,
296380,99999, 20150404,   35.2, 8,   18.4, 8, 1031.8, 8, 1015.2, 8,  12.9, 8,   5.8, 7,   9.7, 999.9,   42.4 ,  24.1 , 0.00F, 21.7, 000000,
296380,99999, 20150405,   36.0, 8,   17.7, 8, 1034.8, 8, 1018.2, 8,  14.4, 8,   5.8, 8,   9.7, 999.9,   42.3 ,  25.3 , 0.00F, 20.5, 000000,
296380,99999, 20150406,   38.5, 8,   19.4, 8, 1031.9, 8, 1015.4, 8,  14.6, 8,   4.6, 8,   7.8, 999.9,   46.8 ,  25.0 , 0.00F, 19.3, 000000,
296380,99999, 20150407,   40.0, 8,   21.5, 8, 1026.5, 8, 1010.1, 8,  14.8, 8,   2.5, 7,   3.9, 999.9,   54.9 ,  26.4*, 0.00F, 16.9, 000000,
296380,99999, 20150408,   35.3, 8,   25.0, 8, 1023.5, 8, 1007.0, 8,  13.5, 8,   4.7, 7,   5.8, 999.9,   46.6 ,  23.7*, 0.00F, 16.5, 000000,
296380,99999, 20150409,   32.2, 8,   27.7, 8, 1030.5, 8, 1013.8, 8,  10.6, 8,   3.4, 8,   5.8, 999.9,   41.4 ,  20.7 , 0.00F, 15.4, 011000,
296380,99999, 20150410,   38.9, 8,   27.5, 8, 1025.3, 8, 1008.9, 8,  10.3, 8,   8.5, 8,  13.6, 999.9,   45.3 ,  24.4 , 0.00E, 14.6, 000000,
296380,99999, 20150411,   44.1, 8,   32.0, 8, 1013.2, 8,  997.1, 8,  14.1, 8,   7.8, 8,  11.7, 999.9,   51.1 ,  38.3 , 0.00F, 10.2, 000000,
296380,99999, 20150412,   40.2, 8,   33.5, 8, 1011.1, 8,  995.0, 8,  12.2, 8,   7.0, 8,  13.6, 999.9,   49.1 ,  34.2*, 0.00F,  7.5, 000000,
296380,99999, 20150413,   39.0, 8,   32.5, 8, 1008.5, 8,  992.4, 8,  13.4, 8,   6.8, 8,   9.7, 999.9,   47.1 ,  32.5 , 0.03F,  5.9, 000000,
296380,99999, 20150414,   38.4, 8,   25.2, 8, 1020.2, 8, 1003.8, 8,  13.9, 8,   7.0, 8,  11.7,  21.4,   44.8*,  33.8 , 0.00E,  2.8, 000000,
296380,99999, 20150415,   39.0, 8,   27.9, 8, 1010.9, 8,  994.8, 8,  13.6, 8,   5.1, 8,   7.8, 999.9,   44.8 ,  32.2*, 0.00E,999.9, 000000,
296380,99999, 20150416,   38.2, 8,   26.9, 8, 1011.9, 8,  995.7, 8,  12.4, 8,   5.6, 8,   9.7, 999.9,   49.8 ,  27.9*, 0.00F,999.9, 000000,
296380,99999, 20150417,   38.8, 8,   22.2, 8, 1023.2, 8, 1006.9, 8,  15.3, 8,   4.4, 8,   7.8, 999.9,   47.1 ,  24.8 , 0.00F,  0.4, 000000,
296380,99999, 20150418,   47.7, 8,   32.5, 8, 1014.2, 8,  998.3, 8,  13.7, 8,   7.0, 8,   9.7, 999.9,   56.8 ,  32.9 , 0.00F,999.9, 000000,
296380,99999, 20150419,   45.6, 8,   35.3, 8, 1009.5, 8,  993.6, 8,  12.3, 8,  10.0, 8,  19.4, 999.9,   50.9 ,  43.0*, 0.20F,999.9, 010000,
296380,99999, 20150420,   53.6, 8,   41.3, 8, 1012.1, 8,  996.4, 8,  11.7, 8,   6.1, 7,  11.7,  25.3,   64.2*,  39.9 , 0.01E,999.9, 010000,
296380,99999, 20150421,   56.6, 8,   42.9, 8, 1014.2, 8,  998.6, 8,  13.0, 8,   4.9, 8,   7.8, 999.9,   71.6 ,  38.3 , 0.00F,999.9, 000000,
296380,99999, 20150422,   60.1, 8,   44.1, 8, 1009.7, 8,  994.3, 8,  15.3, 8,   5.8, 8,  11.7, 999.9,   74.5 ,  49.5*, 0.00F,999.9, 000000,
296380,99999, 20150423,   56.3, 8,   49.3, 8, 1005.1, 8,  989.6, 8,   8.6, 8,   6.1, 8,   9.7, 999.9,   64.8 ,  48.2 , 0.04F,999.9, 010000,
